Player,Year,win3_full,win5_full,played3,best3,top23,top33,total3,games3,seasons3,played5,best5,top25,top35,total5,games5,seasons5
Robby Anderson,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Cody Core,2016,1,1,1,6.166666666666667,4.933333333333334,4.933333333333334,74.0,18,3,1,6.166666666666667,4.933333333333334,4.933333333333334,79.8,19,4
Emanuel Hall,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jaylen Waddle,2021,1,1,1,15.4875,15.367279411764706,14.973424369747898,705.6,47,3,1,15.4875,15.367279411764706,14.973424369747898,1049.3200000000002,78,5
Josh Harper,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
John Metchie,2022,1,0,1,5.54,5.535384615384616,4.456923076923077,159.5,37,3,1,5.54,5.535384615384616,4.456923076923077,159.5,37,3
Van Jefferson,2020,1,1,1,9.894117647058824,8.892058823529412,7.130603318250377,294.0,40,3,1,9.894117647058824,8.892058823529412,7.341372549019607,398.90000000000003,69,5
Kevin Austin,2022,1,0,1,6.6,4.9875,4.9875,60.0,13,2,1,6.6,4.9875,4.9875,60.0,13,2
Chris Moore,2016,1,1,1,5.99,4.538333333333333,3.7477777777777774,125.7,34,3,1,6.9625,6.47625,5.346388888888889,186.5,46,5
Korey Robertson,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jalin Marshall,2016,1,1,1,6.7,6.7,6.7,40.2,6,1,1,6.7,6.7,6.7,40.2,6,1
Terry Godwin,2019,1,1,1,0.0,0.0,0.0,6.5,2,1,1,0.0,0.0,0.0,6.5,2,1
Velus Jones,2022,1,0,1,4.222222222222222,2.6661111111111113,2.6661111111111113,52.0,21,3,1,4.222222222222222,2.6661111111111113,1.9907407407407407,55.2,26,4
Braxton Miller,2016,1,1,1,4.13,3.7816666666666663,3.7816666666666663,72.19999999999999,19,2,1,4.13,3.7816666666666663,3.7816666666666663,72.19999999999999,19,2
Danny Gray,2022,1,0,1,0.58,0.58,0.58,2.9,5,1,1,0.58,0.58,0.58,2.9,5,1
Jalen Hurd,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Terry McLaurin,2019,1,1,1,14.92,14.313571428571429,13.728655462184875,629.2,46,3,1,14.92,14.313571428571429,14.032577030812325,1061.4,80,5
Stacy Coley,2017,1,1,1,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,0.0,2,2
Quartney Davis,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
DaMarkus Lodge,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
K.J. Osborn,2020,1,1,1,9.323529411764707,9.238235294117647,8.825490196078432,434.1,49,3,1,9.323529411764707,9.238235294117647,8.825490196078432,452.8,55,4
DeAndre Smelter,2015,1,1,1,0.0,0.0,0.0,3.3,1,1,1,0.0,0.0,0.0,3.3,1,1
Kendrick Bourne,2017,1,1,1,7.16875,6.844374999999999,5.952916666666667,254.2,41,3,1,10.617647058823529,9.632156862745099,8.811021241830066,564.4,73,5
Jamari Staples,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Austin Watkins,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Da'Ron Brown,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Mack Hollins,2017,1,1,1,4.177777777777778,4.116161616161616,3.681607744107744,104.69999999999999,28,3,1,9.068235294117647,6.853348416289593,5.961491536785655,319.15999999999997,58,5
Gabe Marks,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Bug Howard,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jakobi Meyers,2019,1,1,1,11.876666666666667,11.760208333333335,9.715896464646464,390.72,39,3,1,13.66125,13.412767857142857,12.900734126984126,793.6,69,5
Whop Philyor,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jovon Durante,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Brandon Smith,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Dede Westbrook,2017,1,1,1,11.34375,10.895208333333333,10.449186507936508,405.1,38,3,1,11.34375,10.895208333333333,10.449186507936508,423.3,47,5
J.J. Nelson,2015,1,1,1,9.935714285714285,7.9522321428571425,7.260747354497354,287.5,39,3,1,9.935714285714285,7.9522321428571425,7.260747354497354,314.5,49,5
Jaleel Scott,2018,1,1,1,0.0,0.0,0.0,4.2,2,2,1,0.0,0.0,0.0,4.2,2,2
Riley Ridley,2019,1,1,1,0.0,0.0,0.0,20.8,5,2,1,0.0,0.0,0.0,20.8,5,2
Marquez Valdes-Scantling,2018,1,1,1,9.807142857142859,8.60357142857143,7.604603174603175,332.4,44,3,1,9.807142857142859,8.858116883116883,8.372077922077922,541.8,72,5
Cornell Powell,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Hunter Renfrow,2019,1,1,1,15.241176470588236,12.755203619909503,11.245135746606335,524.2,46,3,1,15.241176470588236,12.755203619909503,11.245135746606335,651.7,69,5
John Hightower,2020,1,1,1,2.88,2.88,2.88,28.8,10,1,1,2.88,2.88,2.88,28.8,10,1
Ryan Switzer,2017,1,1,1,4.3375,3.354464285714286,3.354464285714286,96.7,26,3,1,4.3375,3.354464285714286,3.354464285714286,96.7,26,3
Keith Mumphery,2015,1,1,1,3.38,3.37125,3.37125,43.8,13,2,1,3.38,3.37125,3.37125,43.8,13,2
Vince Mayle,2015,1,1,1,0.0,0.0,0.0,6.2,4,2,1,0.0,0.0,0.0,6.2,4,2
Aaron Fuller,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jazz Ferguson,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Deon Long,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Frank Darby,2021,1,1,1,0.0,0.0,0.0,4.9,3,2,1,0.0,0.0,0.0,4.9,3,2
Freddie Swain,2020,1,1,1,5.40625,4.407291666666667,4.407291666666667,138.8,31,3,1,5.40625,4.407291666666667,4.407291666666667,138.8,31,3
Ray-Ray McCloud,2018,1,1,1,4.871428571428572,3.9902597402597406,3.0887445887445892,111.4,32,3,1,4.871428571428572,4.510714285714286,4.364285714285715,198.0,53,5
Reggie Roberson,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Kolby Listenbee,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Tre Nixon,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Amba Etta-Tawo,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Alex Wesley,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Isaiah Weston,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Racey McMath,2021,1,1,1,1.6,0.88,0.88,7.2,9,2,1,1.6,0.88,0.88,7.2,9,2
K.J. Hill,2020,1,1,1,2.8600000000000003,2.8600000000000003,2.8600000000000003,20.3,6,2,1,2.8600000000000003,2.8600000000000003,2.8600000000000003,20.3,6,2
Byron Pringle,2018,1,1,1,8.05,7.441666666666666,6.905555555555555,204.8,28,3,1,8.05,7.441666666666666,6.905555555555555,270.40000000000003,48,5
Javon Wims,2018,1,1,1,3.872727272727273,2.880808080808081,2.880808080808081,66.80000000000001,22,3,1,3.872727272727273,2.880808080808081,2.880808080808081,66.80000000000001,22,3
Montrell Washington,2022,1,0,1,0.8,0.8,0.8,7.2,9,1,1,0.8,0.8,0.8,7.2,9,1
Marcell Ateman,2018,1,1,1,6.066666666666666,4.858333333333333,4.858333333333333,51.0,10,2,1,6.066666666666666,4.858333333333333,4.858333333333333,51.0,10,2
Kaelin Clay,2015,1,1,1,2.1090909090909093,2.1090909090909093,2.1090909090909093,29.200000000000003,12,2,1,2.1090909090909093,2.1090909090909093,2.1090909090909093,29.200000000000003,12,2
Charone Peake,2016,1,1,1,3.4181818181818184,3.4181818181818184,3.4181818181818184,43.4,15,3,1,3.4181818181818184,3.4181818181818184,3.4181818181818184,43.4,15,3
Dylan Cantrell,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Omar Bayless,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Michael Rector,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Tyre Brady,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Speedy Noil,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Alonzo Russell,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Marquez North,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Adam Humphries,2015,1,1,1,8.866666666666667,8.455208333333333,7.424684343434343,320.7,42,3,1,11.79375,10.330208333333333,9.568055555555555,595.9,70,5
Dontario Drummond,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Trishton Jackson,2020,1,1,1,0.0,0.0,0.0,4.9,2,1,1,0.0,0.0,0.0,4.9,2,1
Greg Ward,2017,1,1,1,9.983333333333333,9.151041666666666,7.747361111111111,227.57999999999998,29,3,1,9.983333333333333,9.151041666666666,7.747361111111111,227.57999999999998,29,3
Trevon Grimes,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Davon Grayson,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Brennan Eagles,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Kendrick Rogers,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Slade Bolden,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Devon Williams,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Chris Lacy,2018,1,1,1,0.0,0.0,0.0,9.0,4,2,1,0.0,0.0,0.0,9.0,4,2
Johnny Holton,2016,1,1,1,6.3999999999999995,3.8416666666666663,3.8416666666666663,52.5,14,3,1,6.3999999999999995,3.8416666666666663,2.8111111111111113,58.5,22,4
Byron Marshall,2016,1,1,1,1.975,1.975,1.975,31.1,9,3,1,1.975,1.975,1.975,31.1,9,3
Mekale McKay,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Javon McKinley,2021,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Tony Brown,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Bralon Addison,2016,1,1,1,0.0,0.0,0.0,2.5,1,1,1,0.0,0.0,0.0,2.5,1,1
Cam Worthy,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Keon Hatcher,2017,1,1,1,0.0,0.0,0.0,1.8,1,1,1,0.0,0.0,0.0,1.8,1,1
Robert Foster,2018,1,1,1,9.009090909090908,5.119545454545454,5.119545454545454,117.1,24,3,1,9.009090909090908,5.119545454545454,5.119545454545454,117.1,24,3
Stephen Guidry,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Darrell Stewart,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Steven Mitchell,2018,1,1,1,0.0,0.0,0.0,16.7,5,2,1,0.0,0.0,0.0,16.7,5,2
Tim Jones,2021,1,1,1,2.1444444444444444,1.8222222222222222,1.8222222222222222,32.4,16,3,1,2.1444444444444444,1.8222222222222222,1.8222222222222222,34.9,18,4
Quincy Adeboyejo,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jeff Thomas,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Juwan Johnson,2020,1,1,1,8.425,6.416666666666668,4.804444444444445,195.60000000000002,33,3,1,8.425,8.305833333333332,8.044914529914529,416.20000000000005,61,5
Austin Mack,2020,1,1,1,3.2199999999999998,3.2199999999999998,3.2199999999999998,16.099999999999998,5,1,1,3.2199999999999998,3.2199999999999998,3.2199999999999998,16.099999999999998,5,1
Binjimen Victor,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Lawrence Cager,2020,1,1,1,5.133333333333334,5.133333333333334,5.133333333333334,49.9,11,3,1,5.133333333333334,5.133333333333334,5.133333333333334,49.9,11,3
Quadree Henderson,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Travin Dural,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
DeAndrew White,2015,1,1,1,0.0,0.0,0.0,16.299999999999997,6,3,1,0.0,0.0,0.0,16.299999999999997,6,3
Chris Jones,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
