key,Year,Player,draft_pick,college,nfl_team,athlete_id,src_draft,src_combine,src_proday,drafted
puka nacua,2023,Puka Nacua,177.0,BYU,LAR,4426515.0,1,1,1,True
quentin johnston,2023,Quentin Johnston,21.0,TCU,LAC,4429025.0,1,1,1,True
rakim jarrett,2023,Rakim Jarrett,,Maryland,,4429006.0,0,1,1,False
rashee rice,2023,Rashee Rice,55.0,SMU,KAN,4428331.0,1,1,1,True
ricky pearsall,2024,Ricky Pearsall,31.0,Florida,SFO,4428209.0,1,1,1,True
ricky white,2025,Ricky White,238.0,UNLV,SEA,4431479.0,1,1,1,True
roc taylor,2025,Roc Taylor,,Memphis,,4431597.0,0,1,1,False
roman wilson,2024,Roman Wilson,84.0,Michigan,PIT,4431492.0,1,1,1,True
rome odunze,2024,Rome Odunze,9.0,Washington,CHI,4431299.0,1,1,1,True
ronnie bell,2023,Ronnie Bell,253.0,Michigan,SFO,4372063.0,1,1,1,True
ryan flournoy,2024,Ryan Flournoy,216.0,SE Missouri St.,DAL,5083754.0,1,1,1,True
sam brown,2025,Sam Brown Jr.,,Miami,,4587977.0,0,1,1,False
savion williams,2025,Savion Williams,87.0,TCU,GNB,4431487.0,1,1,1,True
tahj washington,2024,Tahj Washington,241.0,USC,MIA,4567506.0,1,1,1,True
tai felton,2025,Tai Felton,102.0,Maryland,MIN,4565185.0,1,1,1,True
tank dell,2023,Tank Dell,69.0,Houston,HOU,,1,0,0,True
tayvion robinson,2024,Tayvion Robinson,,Kentucky,,4428367.0,0,1,1,False
tejhaun palmer,2024,Tejhaun Palmer,191.0,Ala-Birmingham,ARI,,1,0,0,True
tetairoa mcmillan,2025,Tetairoa McMillan,8.0,Arizona,CAR,4685472.0,1,1,1,True
tez johnson,2025,Tez Johnson,235.0,Oregon,TAM,4608810.0,1,1,1,True
theo wease,2025,Theo Wease,,Missouri,,4426535.0,0,1,1,False
tory horton,2025,Tory Horton,166.0,Colorado St.,SEA,4597703.0,1,1,1,True
traeshon holden,2025,Traeshon Holden,,Oregon,,4429172.0,0,1,1,False
travis hunter,2025,Travis Hunter,2.0,Colorado,JAX,,1,0,0,True
tre harris,2025,Tre Harris,55.0,Mississippi,LAC,4686612.0,1,0,1,True
tre tucker,2023,Tre Tucker,100.0,Cincinnati,LVR,4428718.0,1,1,1,True
trey palmer,2023,Trey Palmer,191.0,Nebraska,TAM,4426407.0,1,1,1,True
troy franklin,2024,Troy Franklin,102.0,Oregon,DEN,4431280.0,1,1,1,True
tyler scott,2023,Tyler Scott,133.0,Cincinnati,CHI,4565908.0,1,1,1,True
will sheppard,2025,Will Sheppard,,Colorado,,4608679.0,0,0,1,False
xavier hutchinson,2023,Xavier Hutchinson,205.0,Iowa St.,HOU,4686422.0,1,1,1,True
xavier legette,2024,Xavier Legette,32.0,South Carolina,CAR,4430034.0,1,1,1,True
xavier restrepo,2025,Xavier Restrepo,,Miami,,4431353.0,0,1,1,False
xavier weaver,2024,Xavier Weaver,,Colorado,,4428811.0,0,1,1,False
xavier worthy,2024,Xavier Worthy,28.0,Texas,KAN,4683062.0,1,1,1,True
zay flowers,2023,Zay Flowers,22.0,Boston Col.,BAL,4429615.0,1,1,1,True
