Player,Year,era,is_udfa,udfa_type,tier,rbpi_post,rbpi_pre,raw_post,raw_pre,diamond_score,is_diamond,is_star_pre,is_star_post,low_conf,low_conf_reason,actual_fantasy_pctl,pick,nfl_entry_age,breakout_age,best_dom,best_rec_ydshare,career_ypc,avg_ppa,explosion_p,best_scrim_yds,best_rush_share,recruit_stars,similar
Jay Ajayi,2015,historical,0,,7,0.6013071895424836,0.5816993464052288,27.05299104765907,10.60409791421506,0.7396150117516735,1,0,0,0,,0.8157894736842105,149.0,21.54688569472964,20.33401779603012,0.4116991885836107,0.1362710137544574,5.59882005899705,0.1855,0.637911006647585,2358.0,0.5871404399323181,3.0,"[{'p': 'Omarion Hampton', 'y': 2025, 'sim': 68.0, 'fant': None}, {'p': 'Kaleb Johnson', 'y': 2025, 'sim': 62.0, 'fant': None}, {'p': 'Brian Hill', 'y': 2017, 'sim': 61.0, 'fant': 0.425}, {'p': 'Lew Nichols', 'y': 2023, 'sim': 59.0, 'fant': 0.092}, {'p': 'Rashaad Penny', 'y': 2018, 'sim': 59.0, 'fant': 0.566}, {'p': 'Jaleel McLaughlin', 'y': 2023, 'sim': 59.0, 'fant': 0.496}]"
Karlos Williams,2015,historical,0,,6,0.5816993464052288,0.6601307189542484,26.78195019501672,10.750697586332873,0.3208257757392865,0,0,0,0,,0.7763157894736842,155.0,21.661875427789184,21.44832306639288,0.2324668681701929,0.0968567251461988,5.8879668049792535,0.226,0.4877673692992233,954.0,0.3440366972477064,,"[{'p': 'Rodney Anderson', 'y': 2019, 'sim': 62.0, 'fant': 0.092}, {'p': 'Gerrid Doaks', 'y': 2021, 'sim': 62.0, 'fant': 0.092}, {'p': 'Qadree Ollison', 'y': 2019, 'sim': 62.0, 'fant': 0.346}, {'p': 'Keaontay Ingram', 'y': 2022, 'sim': 58.0, 'fant': 0.211}, {'p': 'Joe Mixon', 'y': 2017, 'sim': 57.0, 'fant': 0.912}, {'p': 'Roschon Johnson', 'y': 2023, 'sim': 56.0, 'fant': 0.539}]"
Cameron Artis-Payne,2015,historical,0,,4,0.33986928104575165,0.13725490196078433,22.595614625308055,9.134488696838226,-0.21468749977921736,0,0,0,0,,0.36403508771929827,174.0,24.525667351129364,24.31211498973306,0.2872017198136868,0.0652173913043478,5.629441624365482,0.1649999999999999,0.4813198711731281,1755.0,0.5033222591362126,,"[{'p': 'Patrick Laird', 'y': 2019, 'sim': 59.0, 'fant': 0.434}, {'p': 'Kaelon Black', 'y': 2026, 'sim': 58.0, 'fant': None}, {'p': 'Jerome Ford', 'y': 2022, 'sim': 57.0, 'fant': 0.754}, {'p': 'Eric Gray', 'y': 2023, 'sim': 56.0, 'fant': 0.246}, {'p': 'Devontae Booker', 'y': 2016, 'sim': 56.0, 'fant': 0.623}, {'p': 'Tahj Brooks', 'y': 2025, 'sim': 56.0, 'fant': None}]"
Josh Robinson,2015,historical,0,,5,0.45751633986928103,0.6535947712418301,24.781425203669116,10.748254384320983,-0.4919226094206933,0,0,0,0,,0.2412280701754386,205.0,22.354551676933607,22.140999315537304,0.2168300653594771,0.101397643189915,6.182662538699691,0.2334999999999999,0.114405938582746,1573.0,0.3368794326241134,3.0,"[{'p': 'Jonah Coleman', 'y': 2026, 'sim': 64.0, 'fant': None}, {'p': 'Zack Moss', 'y': 2020, 'sim': 62.0, 'fant': 0.614}, {'p': 'Mike Davis', 'y': 2015, 'sim': 60.0, 'fant': 0.478}, {'p': 'Kyle Monangai', 'y': 2025, 'sim': 59.0, 'fant': None}, {'p': 'Khalil Herbert', 'y': 2021, 'sim': 57.0, 'fant': 0.675}, {'p': 'MarShawn Lloyd', 'y': 2024, 'sim': 57.0, 'fant': None}]"
Marcus Murphy,2015,historical,0,,3,0.24836601307189543,0.05228758169934641,21.07258402603308,8.164840291729014,-0.58932804431147,0,0,0,0,,0.09210526315789473,230.0,23.24709103353868,23.033538672142367,0.1694309302668435,0.080060422960725,5.807121661721069,,0.0300065367173455,1136.0,0.3390804597701149,3.0,"[{'p': 'Jawhar Jordan', 'y': 2024, 'sim': 67.0, 'fant': None}, {'p': 'Ulysses Bentley IV', 'y': 2025, 'sim': 64.0, 'fant': None}, {'p': 'Robert Henry Jr.', 'y': 2026, 'sim': 60.0, 'fant': None}, {'p': 'T.J. Logan', 'y': 2017, 'sim': 59.0, 'fant': 0.202}, {'p': ""D'Ernest Johnson"", 'y': 2019, 'sim': 58.0, 'fant': 0.443}, {'p': 'Kyren Williams', 'y': 2022, 'sim': 58.0, 'fant': 0.961}]"
Kenny Hilliard,2015,historical,0,,1,0.013071895424836602,0.013071895424836602,13.73677122241871,5.741647511911452,-0.7590844571603607,0,0,0,0,,0.09210526315789473,235.0,23.24709103353868,99.0,0.1228429971722904,0.0165250236071765,5.155629139072848,0.0935,0.0215661317128747,485.0,0.1576923076923077,4.0,"[{'p': 'Tony Jones', 'y': 2020, 'sim': 64.0, 'fant': 0.232}, {'p': 'Gary Brightwell', 'y': 2021, 'sim': 62.0, 'fant': 0.303}, {'p': 'Snoop Conner', 'y': 2022, 'sim': 60.0, 'fant': 0.224}, {'p': 'Roschon Johnson', 'y': 2023, 'sim': 59.0, 'fant': 0.539}, {'p': 'David Williams', 'y': 2018, 'sim': 59.0, 'fant': 0.092}, {'p': 'Rhamondre Stevenson', 'y': 2021, 'sim': 58.0, 'fant': 0.846}]"
Ezekiel Elliott,2016,historical,0,,10,0.9869281045751634,0.9411764705882353,74.38764852918308,11.178732947758323,0.874964594468789,0,1,1,0,,0.9912280701754386,4.0,20.44626967830253,19.23340177960301,0.376332784064749,0.0839103869653767,6.690878378378378,0.3723333333333333,0.4729302948701659,2098.0,0.5226039783001808,,"[{'p': 'Audric Estime', 'y': 2024, 'sim': 65.0, 'fant': None}, {'p': 'Rashaad Penny', 'y': 2018, 'sim': 64.0, 'fant': 0.566}, {'p': 'Derrius Guice', 'y': 2018, 'sim': 62.0, 'fant': 0.781}, {'p': 'Tyler Allgeier', 'y': 2022, 'sim': 61.0, 'fant': 0.662}, {'p': 'Joe Mixon', 'y': 2017, 'sim': 60.0, 'fant': 0.912}, {'p': ""D'Onta Foreman"", 'y': 2017, 'sim': 60.0, 'fant': 0.386}]"
Derrick Henry,2016,historical,0,,9,0.8888888888888888,0.2222222222222222,45.94664557882519,9.746459796645901,0.9690475266609941,1,0,0,0,,0.7456140350877193,45.0,21.99041752224504,20.77754962354552,0.4343959684040656,0.0341902313624678,5.955223880597015,0.2476666666666666,0.8724784488027151,2310.0,0.6240126382306477,5.0,"[{'p': ""D'Onta Foreman"", 'y': 2017, 'sim': 61.0, 'fant': 0.386}, {'p': 'Leonard Fournette', 'y': 2017, 'sim': 61.0, 'fant': 0.939}, {'p': 'AJ Dillon', 'y': 2020, 'sim': 59.0, 'fant': 0.741}, {'p': 'Najee Harris', 'y': 2021, 'sim': 57.0, 'fant': 0.908}, {'p': 'Phil Mafah', 'y': 2025, 'sim': 57.0, 'fant': None}, {'p': 'Ollie Gordon', 'y': 2025, 'sim': 56.0, 'fant': None}]"
Kenyan Drake,2016,historical,0,,8,0.7973856209150327,0.8431372549019608,38.40218233880837,10.96033265705912,-0.09336475750360139,0,0,0,0,,0.7850877192982456,73.0,21.93018480492813,99.0,0.1475204063229057,0.0810096859407103,6.416309012875536,0.4066666666666667,0.6187134235631014,829.0,0.2035398230088495,,"[{'p': 'Tony Pollard', 'y': 2019, 'sim': 66.0, 'fant': 0.671}, {'p': 'Trey Sermon', 'y': 2021, 'sim': 61.0, 'fant': 0.333}, {'p': 'James Cook', 'y': 2022, 'sim': 61.0, 'fant': 0.895}, {'p': 'Pierre Strong', 'y': 2022, 'sim': 59.0, 'fant': 0.408}, {'p': 'Jordan Wilkins', 'y': 2018, 'sim': 56.0, 'fant': 0.382}, {'p': 'Chris Carson', 'y': 2017, 'sim': 55.0, 'fant': 0.882}]"
C.J. Prosise,2016,historical,0,,8,0.7777777777777778,0.8431372549019608,35.163337953933336,10.96033265705912,0.7431924336237052,1,0,0,0,,0.5789473684210527,90.0,21.61806981519507,21.404517453798768,0.2883725733168112,0.1971723347344287,6.975903614457831,0.5486666666666667,0.6377808145882592,1340.0,0.3326226012793177,,"[{'p': 'Rachaad White', 'y': 2022, 'sim': 69.0, 'fant': 0.877}, {'p': 'Joe Mixon', 'y': 2017, 'sim': 59.0, 'fant': 0.912}, {'p': 'DJ Giddens', 'y': 2025, 'sim': 52.0, 'fant': None}, {'p': 'Jason Huntley', 'y': 2020, 'sim': 52.0, 'fant': 0.092}, {'p': 'Omarion Hampton', 'y': 2025, 'sim': 52.0, 'fant': None}, {'p': 'Tony Pollard', 'y': 2019, 'sim': 51.0, 'fant': 0.671}]"
